trail_id,name,city,region_name,length_km,ascent,descent,deepest_point,highest_point,unit,duration_minutes,difficulty,season,route_type,aktivitat,angebot,thema
995,"Lenzerheide – Arosa, Heidi &#038; Gigi Winterwanderweg",Graubünden,Arosa,17.6,1248,830,1489,2568,m,465,,"['Jan', 'Feb', 'Mar', 'Dez']",A nach B Tour,['Winterwandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli']","['Pass', 'Panorama', 'See']"
993,Ibergeregg – Zwäcken – Ibergeregg (Mythenregion),Zentralschweiz,Mythenregion,4.1,194,194,1278,1469,m,90,,"['Jan', 'Feb', 'Mar', 'Dez']",Rundtour,['Winterwandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli']","['Familie', 'Panorama', 'Höhenweg']"
991,Wildhaus – Gamplüt – Alp Fros – Wildhaus,Ostschweiz,Toggenburg,9.2,442,443,1089,1437,m,205,,"['Jan', 'Feb', 'Mar', 'Dez']",Rundtour,['Winterwandern'],"['Unterkunft', 'Verpflegung']","['Panorama', 'Schlitteln', 'Höhenweg']"
989,Wildhaus Oberdorf – Gamperfin – Oberdorf (Toggenburg),Ostschweiz,Toggenburg,10.2,415,415,1224,1443,m,215,,"['Jan', 'Feb', 'Mar', 'Dez']",Rundtour,['Winterwandern'],"['Unterkunft', 'Verpflegung']",['Panorama']
985,Amden Niederschlag – Hinter Höhi – Niederschlag,Ostschweiz,,3.6,127,127,1293,1418,m,70,,"['Jan', 'Feb', 'Mar', 'Dez']",Rundtour,['Winterwandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli']",['Familie']
983,Amden Arvenbüel – Vorder Höhi – Arvenbüel,Ostschweiz,,6.6,302,302,1273,1534,m,140,,"['Jan', 'Feb', 'Mar', 'Dez']",Rundtour,['Winterwandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli']","['Panorama', 'Höhenweg']"
969,"Thurgauer Panoramaweg, Amriswil – Bischofszell (Etappe 1)",Ostschweiz,Thurgau,16.4,403,334,437,614,m,255,T2,"['Mar', 'Apr', 'Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt', 'Nov']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli']",['Panorama']
967,"Thurgauer Panoramaweg, Bischofszell – Wil SG (Etappe 2)",Ostschweiz,Thurgau,20.5,514,442,462,734,m,315,T2,"['Mar', 'Apr', 'Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt', 'Nov']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung']","['Familie', 'Panorama', 'Mehrtagestour']"
965,"Steckborn (Untersee) – Stein am Rhein, ViaRhenana Etappe 2",Ostschweiz,Thurgau,16.2,487,476,397,594,m,260,T1,"['Mar', 'Apr', 'Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt', 'Nov']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Feuerstelle']","['Familie', 'Fluss', 'See', 'Schiff']"
963,"Thurgauer Rebenweg, Oberneunforn – Iselisberg – Kartause Ittingen – Frauenfeld",Ostschweiz,Thurgau,14.2,225,290,387,536,m,210,T1,"['Jan', 'Feb', 'Mar', 'Apr', 'Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt', 'Nov', 'Dez']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung']",['Familie']
961,"Kreuzlingen – Steckborn (Bodensee), ViaRhenana Etappe 1",Ostschweiz,Bodensee,18.8,296,297,395,483,m,285,T1,"['Jan', 'Feb', 'Mar', 'Apr', 'Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt', 'Nov', 'Dez']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung']","['Familie', 'See', 'Flachwandern', 'Schiff']"
959,Nussbaumen TG – Kartause Ittingen – Frauenfeld,Ostschweiz,Thurgau,16.2,187,270,386,496,m,240,T1,"['Jan', 'Feb', 'Mar', 'Apr', 'Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt', 'Nov', 'Dez']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung']","['Familie', 'Panorama', 'See', 'Flachwandern']"
957,Thurgauer Tannzapfenweg: Fischingen – Fischingen,Ostschweiz,Thurgau,11.5,522,520,616,994,m,205,T1,"['Apr', 'Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt']",Rundtour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Feuerstelle']",['Familie']
955,Rasa – Intragna (Centovalli),Tessin,Centovalli,5.6,210,766,285,895,m,125,T2,"['Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung']",[]
953,Neuägeri – Höllgrotten Baar – Baar (Lorzentobel),Zentralschweiz,Zugerland,8.7,24,262,442,682,m,120,T1,"['Mar', 'Apr', 'Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt', 'Nov']",A nach B Tour,['Wandern'],"['Verpflegung', 'Feuerstelle']","['Familie', 'Themenweg', 'Schlucht', 'Naturwunder']"
821,Rinderberg (Zweisimmen) – Horneggli (Schönried),Bern,Gstaad / Saanenland,6.3,181,417,1769,2078,m,110,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli', 'Alp-BnB']","['Familie', 'Panorama', 'Höhenweg', 'Gratweg', 'Top-Touren']"
